	utterance	topics
8052	Well, I enjoy reading science fiction novels.	(books,yes)|(genre,yes)|(science fiction,yes)
12975	It was nice chatting with you too. See you around.	(farewell,yes)
9479	Mostly just reading and watching TV.	(books,yes)
3079	I went in the summer. The weather was perfect.	(travel,yes)|(season,yes)|(summer,yes)
4842	Not really, I prefer comedies or action movies, something stimulating.	(movie,yes)|(movie genre,unknown)
227	Actually, no. I'm not much of a reader.	(books,no)
7030	Not really. I find them boring.	(books,no)|(mystery,no)
6354	Sorry, but that sounds pretty boring to me. I prefer going to beaches and enjoying a relaxing time. I'm not too interested in museums and historic places.	(travel,no)|(beaches and relaxation,no)
1763	No, unfortunately, I haven't been able to travel much in recent years.	(travel,no)
11769	I really like FPS games.	(video games,yes)|(favorite game,yes)|(FPS games,yes)
1691	Sounds interesting, I'll have to check it out.	(TV shows,yes)|(Mindhunter,yes)
6484	Not really. I prefer staying indoors.	(outdoor activity,no)
7040	I like reality TV and crime dramas.	(TV show,yes)|(crime drama,yes)
7302	No, not really.	(travel,no)
7659	It's a mini-series about the Chernobyl nuclear disaster in Ukraine. It's really intense, but definitely worth watching.	(TV show,yes)|(show plot,unknown|Chernobyl,yes)
2934	I don't like sleeping outside in a tent, so I don't go camping.	(outdoor activities,no)|(camping,no)
4851	No, I haven't had much time for that.	(TV shows,no)
11602	I can understand that, but they're just not for me.	(pets,yes)|(dog,yes)
6402	No, I've been pretty stuck in my old favorites. I don't really have the energy to stay current with new artists.	(music,no)
11802	Yeah, I did it a couple of times before. It's always fun to do with friends.	(karaoke,yes)|(karaoke with friends,yes)
11601	No, I'm allergic to most of them, unfortunately.	(pets,yes)|(allergic,no)
11663	Mostly first-person shooters.	(video games,yes)|(video game genre,yes)|(first-person shooters,yes)
9494	Not really. I don't really see the point in having a pet.	(pets,no)
11457	Well, I like to read books and go hiking. How about you?	(hobby,neutral)
2395	I enjoy watching football, especially during the playoffs.	(sports,yes)|(football,yes)
3116	I prefer romantic comedies.	(movie,yes)
11338	No, I haven't, and I don't think I ever will! It's not my thing.	(activity,no)|(skydiving,no)
11114	Meh, same old stuff at work.	(work,no)
2979	Honestly, no. I'm not really into sports.	(sports,no)
908	Yes, I do. I play basketball and soccer.	(sports,yes)|(basketball,yes)
11520	Yeah, I really like [insert artist/band name]. Their lyrics are really thoughtful and their music is just beautiful.	(music,yes)|(favorite artist/band,yes)
10919	Not really, I listen to a little bit of everything but I'm not hugely into music.	(music,no)
6548	No, I hadn't heard.	(coffee,yes)|(coffee shop,unknown)
8261	My favorite comedian is definitely Jim Carrey.	(movies,yes)|(comedian,yes)|(Jim Carrey,yes)
3117	Not really, I haven't had much time for traveling lately.	(travel,no)
4364	No, I prefer to listen to music.	(podcasts,no)
13135	Sorry, I haven't seen that show. I watched the news and it was depressing.	(news,no)|(depressing news,no)
10887	No, I don't really have the time or money for that.	(travel,no)
11156	Yes, I love trying new dishes. Thai cuisine is my favorite. How about you?	(food,yes)|(cuisine,yes)|(Thai cuisine,yes)
9517	Yeah, I can understand that. The movie is definitely not for everyone.	(movie,yes)|(movie taste,no)
11907	It's going alright.	(general,yes)
4083	Sure, bye!	(errands,no)
7151	Sorry, I am not really into crime and mystery novels. Do you like watching sports?	(sport,no)
6135	Yeah, I loved it.	(TV shows,yes)|(Breaking Bad,yes)
7150	Yeah, it's one of my favorite books. What about you, what do you like to read?	(reading,yes)|(book,unknown)
8249	Yes, I went to Kuta beach. It was a bit crowded but still enjoyable.	(travel,yes)|(beaches,yes)|(Kuta beach,yes)
10330	I understand. Personally, I like to read fantasy and historical fiction books.	(book,yes)|(book genre,yes)|(fantasy and historical fiction,yes)
2531	Just started playing this new RPG, it's called Cyberpunk 2077.	(entertainment,yes)|(video games,yes)|(Cyberpunk 2077,yes)
13247	I usually get the California roll or the dragon roll.	(food,yes)|(sushi,yes)
4256	Not really, I find them kind of tedious.	(video games,no)
4607	Not really, it's all so depressing.	(news,no)|(bad news,no)
12783	Not really, I'm not really into outdoor activities.	(sports,no)|(hiking,no)
322	No, not really my thing. I stick to my usual fast food places.	(cuisine,no)|(fast food,no)
7204	I've been watching the news lately, but it's pretty depressing.	(tv,no)|(news,no)
8228	Yeah, it's a team-based multiplayer shooter. It's a lot of fun if you're into that sort of thing.	(video games,yes)|(multiplayer games,yes)|(Team Fortress 2 gameplay,yes)
3809	It was okay. Not much happened.	(weekend,no)
3939	What about you? Any plans?	(Personal,yes)
7536	You too.	(farewell,yes)
1895	"I recently watched ""Judas and the Black Messiah."" It was quite good."	(movie,yes)|(Judas and the Black Messiah,yes)
12728	I don't really follow sports. Sorry, man.	(sports,no)
948	Yeah, I went on a really beautiful hike last weekend.	(hobbies,yes)|(park/trail,yes)
3973	Not really, I tend to stick to what I know I like.	(food,no)
165	Not really. I'm not really into sports.	(sports,no)
6026	Yeah, I love movies! Do you have any favorite ones?	(movies,yes)
10750	I mostly enjoy comedies and dramas.	(movie,yes)|(movie genre,yes)|(comedy+Drama,yes)
7563	Ugh, I try to avoid them. Anything interesting going on?	(news,yes)|(political controversies,no)
10921	"Yeah, I just started watching ""Friends""."	(TV show,yes)|(Friends,yes)
3865	I always get their spaghetti carbonara. It's the best.	(food,yes)|(pasta,yes)
11210	No, I don't. I wish I did, though.	(music,yes)|(playing instruments,no)
2259	Yeah, I love traveling! It's always fun to explore new places and experience different cultures.	(travel,yes)
6404	Yeah, you too. Have a good day!	(social,yes)
81	No, not really. I don't get to travel much.	(travel,no)
3453	I don't really have a specific preference. I just listen to whatever's on the radio.	(music,no)
8092	Yes, I did. I was so disappointed when Brazil lost.	(sports,yes)|(World Cup,yes)|(Brazil,yes)
3640	No, not really. But I do enjoy baking sometimes!	(cooking,yes)|(baking,yes)
4247	That's alright. Everyone has their preferences.	(outdoor activity,yes)|(activity opinion,unknown)
10121	No problem. See you later.	(conversation,no)
9819	I really like BTS. What about you?	(music,yes)|(K-Pop group,yes)|(BTS,yes)
12658	Oh no, I really don't want to talk about that. It just stresses me out.	(politics,yes)|(talking politics,no)
5194	I really enjoy Game of Thrones.	(TV show,yes)|(Game of Thrones,yes)
8755	I like classical music, but I don't really like talking about it.	(music,no)|(music genre,yes)|(classical music,yes)
9687	Oh, I love video games!	(video games,yes)
2613	No, and I don't really care to watch it. I'm not a fan of reality TV.	(reality TV,no)
2517	I love Tyrion. How about you?	(TV show,yes)|(TV character,yes)|(Tyrion,yes)
6921	Not really. I've been stuck listening to the same old songs for months.	(music,yes)|(songs,no)
4606	Okay, no worries. It was nice talking to you, but I got to hit the road now. See you later.	(goodbye,yes)
7124	I don't love cooking, but I try to make myself meals at home to save money.	(cooking,yes)
9223	No, I haven't.	(TV shows,unknown)
4599	Hmm, it's hard to choose as both were equally funny.	(movie,yes)|(movie aspects,yes)|(story,yes)
1844	It was a bit long but overall, I liked it.	(movie,yes)
7032	Actually, I think I saw a documentary on that same topic not too long ago. I feel like I've got a pretty good grasp of the basics already.	(books,no)|(non-fiction,yes)|(history of the internet,no)
134	It depends on the game. I like strategic games like chess but not so much party games like charades.	(games,unknown)|(game type,unknown)|(chess,yes)
9788	Not really, I mostly just watch.	(sports,no)
391	I usually just hang out with my friends, watch some movies or play video games.	"(fun,yes)|([""movies"", ""video games""], yes)"
3163	No, and I don't think I ever will. I'm afraid of heights.	(adventure sports,no)|(skydiving,no)
4933	I hope so.	(job hunting,yes)
5046	Hey, actually I have to run. I'm supposed to meet some friends soon.	(boring topics,no)|(running away from topic,no)
1748	Well, reading books is something that I enjoy the most.	(hobbies,no)
3194	I'm really interested in video games.	(hobby,yes)|(video games,yes)
7041	Not really, I find reading boring.	(reading,no)
3811	Just to a little Italian place. It was pretty good.	(weekend,yes)|(restaurant,yes)|(Italian food,yes)
4192	Definitely true crime. I'm kind of obsessed with it.	(podcasts,yes)|(true crime,yes)
10537	No, concerts aren't really my thing.	(music,no)|(concerts,no)
5672	Not really, no. Just work, eat, and sleep. It's been pretty dull.	(life,no)
7894	Not really, I haven't had time to go to the movies recently.	(entertainment,yes)|(movies,no)
7252	Actually, I'm not much of a TV person.	(TV show,no)
3997	No, I haven't. But I'd love to go one day.	(travel,yes)|(Japan,yes)
7756	I'm not really into movies, honestly. They all seem to be the same thing over and over again.	(movies,no)
8622	I don't know. It looks too complex for me. What other movies do you recommend?	(movie,yes)|(movie recommendation,unknown)
7368	Yeah, I hear you. Hey, have you seen that new show on Netflix?	(TV show,unknown)|(Netflix,unknown)
13043	Not really. It’s not my thing.	(food,no)|(cooking,no)
10217	Not really, I don't have much time for that kind of stuff.	(technology,no)
8756	I'm not really into sports.	(sports,no)
3551	Maybe. We'll see.	(daily life,no)
5405	Not really, I haven't found anything that interesting lately.	(movies,no)
11415	Actually, I just watched the latest Star Wars movie. It was okay.	(movies,yes)|(Star Wars,yes)
6805	It's been pretty busy, but nothing too exciting.	(work,no)
7697	Not really, I am not much of a coffee person.	(food,yes)|(beverages,no)|(coffee,no)
4208	I'm not really into sci-fi, but thanks for the suggestion.	(TV show,yes)|(sci-fi,no)
501	Not really, I've been too busy with work.	(movies,no)
8100	"Yeah, I saw ""The Godfather"" recently. It was amazing."	(movie,yes)|(The Godfather,yes)
4626	Honestly, I don't really have many hobbies.	(hobbies,no)
6953	I just like fast food, honestly.	(cooking,no)
7997	Not really, I don't watch a lot of TV these days.	(TV,no)
8543	Not really, I just go wherever there's a good trail.	(hobbies,yes)|(hiking spots,no)
13250	No, I heard it's good but I haven't gotten around to watching it yet.	(TV shows,unknown)|(Better Call Saul,no)
9874	No, I'm not really an animal person.	(animal,no)
8278	No, I don’t. I had a dog when I was a kid, but I don’t have the time or the energy to take care of one now.	(pets,unknown)
8484	Not really, I don't watch many movies.	(movie,no)
8148	Yeah, it's really fun. You should give it a try sometime.	(videogames,yes)
10153	Yeah, definitely! It was good talking to you too.	"([""socializing"", ""friendship""], yes)"
11171	That's alright, everyone has different tastes. What about movies? Have you seen anything good lately?	(movies,yes)
12324	No, I'm not really into cooking.	(food,no)
433	No, I haven't. I'm really not that into reading.	(books,no)
3018	Ugh, I can't stand them. They are so fake and boring.	(reality TV shows,no)
3276	Yeah, but to be honest, I'm not a big fan.	(animals,no)
724	John Wick is amazing. I'm a huge fan.	(movie,yes)|(movie character,yes)|(John Wick,yes)
4441	I had a quiet weekend.	(weekend,yes)|(quiet weekend,yes)
6703	"""Making a Murderer"" and ""The Jinx"" are both really good."	(tv show,yes)
3574	Yeah, I've been following it on YouTube.	(space,yes)|(Blue Origin,yes)
159	Not really, I'm not a very good cook.	(cooking,no)|(cooking skills,no)|(cooking,no)
914	I'm actually going to a business conference in San Francisco.	(travel,no)|(business conference,no)|(San Francisco,unknown)
6767	Honestly, I'm not too picky. I like everything from sci-fi to historical fiction.	(reading,unknown)|(book genres,yes)
129	No, I don't eat meat.	(food,no)|(meat,no)
9433	I enjoy reading books and listening to music.	(hobbies,yes)|(Books and music,yes)
6383	Yes, I have.	(TV/Documentaries,yes)|(Blue Planet II,yes)
10861	No, I haven't been able to travel much lately.	(travel,no)
3288	Yeah, that sounds good.	(conversation topic,yes)
9138	Well, I like to hike and explore nature. There are some beautiful places around here to go on hikes.	(nature,yes)|(hiking,yes)
5395	Yeah, I went to Hawaii a few years ago.	(vacation,yes)|(location,yes)|(Hawaii,yes)
12573	I'm not sure yet, maybe just relax at home.	(weekend plans,yes)|(relax at home,yes)
41	I know, I know. But I still hate it. Anyway, have you heard about the new restaurant downtown?	(food,yes)|(restaurant,yes)
4939	Not really.	(books,no)
8790	I work for a small software development firm. It's been challenging but rewarding.	(work,yes)|(company,yes)|(software development firm,yes)
11223	Honestly, no. The food wasn't that great.	(restaurant,no)
10830	Not really, I mostly just watch reality TV.	(TV shows,no)|(reality TV,no)
5005	No, I haven't. I'm not really interested in trying new restaurants right now.	(food,no)
6284	Not really, COVID kinda ruined that.	(travel,no)
132	"Yes, I love ""The Shawshank Redemption""."	(movie,yes)|(movie title,yes)|(The Shawshank Redemption,yes)
8753	No, I haven't bothered.	(news,no)
10461	I've heard mixed reviews, to be honest.	(TV shows,yes)|(Game of Thrones,unknown)
